,Country,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling,Poisoning,Status
22,Brazil,73.38125,150.6875,68.25,7.21333333333333,390.695595171875,96.1875,95.375,47.0625,77.25,98.3125,8.01933333333333,97.9375,0.1,6143.1617935,88128071.25,3.05,3.0125,0.7101875,14.1625,0.19,Developing
23,Brunei Darussalam,76.4875,67.0625,0,0.378666666666667,1276.87948524813,97.875,7.3125,29.71875,0,97.5,2.82,96.8125,0.1,19744.808101875,,6.2,5.675,0.839375,14.10625,0.59,Developing
24,Bulgaria,72.85,125.5,0.9375,10.8653333333333,350.74520402625,94.5,1530.3125,54.5,1,94.25,7.236,94,0.1,4938.981821375,5290923.9375,2.13125,2.15625,0.754625,13.725,0.76,Developed
25,Burkina Faso,55.64375,252.5,44.75,4.24133333333333,52.0455813263125,81.1,5091.75,15.5,79.9375,69,6.038,77.3125,1.8375,410.3720343125,6143694.8125,7.41875,6.98125,0.2296875,5.40625,3.44,Developing
26,Burundi,55.5375,291.5625,23.25,4.10333333333333,15.335497774875,93.3333333333333,1349.5,15.3125,35.5625,86.625,7.08933333333333,85.75,3.0875,137.81532131875,3915446.6875,8.01875,8.0125,0.327875,7.48125,3.56,Developing
27,Cabo Verde,72.51875,116.1875,0,3.448,188.632987378188,80.6428571428571,0.125,24.375,0,84.375,4.75533333333333,79,0.53125,2023.54103925,292600.25,8.0125,7.975,0.57,12.2,0.45,Developing
28,Cambodia,64.34375,196.375,16.75,1.486,33.7965609773125,79.6,1880.8125,15.3625,20.5,74.1875,5.74066666666667,72.0625,1.025,466.19687805,7145967.4375,10.14375,10.88125,0.4919375,9.875,0.5,Developing
29,Cameroon,54.01875,294.875,54.9375,4.14133333333333,44.4622999386875,76.8181818181818,2979.25,23.61875,86.1875,72.5,4.71933333333333,69.4375,6.2125,781.0160044125,9967291.9375,6.55,6.60625,0.47,8.90625,2.87,Developing
30,Canada,81.6875,64.625,2,8.05333333333333,4694.078971425,28.8461538461538,129.5,55.8625,2,85.3125,7.052,91.0625,0.1,29382.907523125,11364053.8125,0.50625,0.4375,0.8921875,15.875,0.34,Developing
31,Central African Republic,48.5125,333.0625,16.5,1.23133333333333,40.905543112125,42.5714285714286,699.4375,17.0875,24.5,41.3125,4.03933333333333,42.4375,8.98125,363.05590485,2016546.125,7.10625,7.0875,0.3355,6.2375,3.29,Developing
32,Chad,50.3875,227.75,44.875,0.411333333333333,32.2773204970625,29.875,4687.75,16.31875,78.125,32.875,4.37933333333333,26.8125,4.3375,484.79169405625,4114092.0625,7.14375,7.04375,0.316625,6.0875,3.9,Developing
33,Chile,79.45,63.625,2,6.978,775.54081278375,77.2,1.0625,55.5875,2.1875,83.625,6.91133333333333,88.8125,0.1,6202.3443635625,14671763.9375,0.8875,0.9125,0.8013125,14.9,0.32,Developing
34,China,74.2625,73.75,294.875,4.182,73.5837628956875,80.4375,65857.9375,21.80625,350,93.6875,4.918,93.3125,0.1,2345.3031576875,321812.0625,4.6375,4.025,0.66025,11.4375,1.96,Developing
35,Colombia,73.2875,124.25,13.875,4.41933333333333,516.640179215,79,9.5,49.54375,16.375,84.25,6.34,79.1875,0.1,3321.6607483125,31767432.625,2.3,2.075,0.681875,12.23125,0.11,Developing
